Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Sex,Economic activity,Unit of measure,Value
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Female,,Percent,81.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,Female,,Percent,81.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,Female,,Percent,84.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,Female,,Percent,71.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,Female,,Percent,84.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,Female,,Percent,82.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,Female,,Percent,80.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,Female,,Percent,85.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,Female,,Percent,81.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,Female,,Percent,82.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,Female,,Percent,87.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,Female,,Percent,91.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,Female,,Percent,88.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,Female,,Percent,90.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,Female,,Percent,90.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,Female,,Percent,83.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,Female,,Percent,84.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,,"Agriculture, forestry and fishing",Percent,94.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,,"Agriculture, forestry and fishing",Percent,91.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,,"Agriculture, forestry and fishing",Percent,95.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,,"Agriculture, forestry and fishing",Percent,82.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,,"Agriculture, forestry and fishing",Percent,95.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,,"Agriculture, forestry and fishing",Percent,93.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,,"Agriculture, forestry and fishing",Percent,93.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,,"Agriculture, forestry and fishing",Percent,92.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,,"Agriculture, forestry and fishing",Percent,91.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,,"Agriculture, forestry and fishing",Percent,95.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,,"Agriculture, forestry and fishing",Percent,96.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,,"Agriculture, forestry and fishing",Percent,96.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,,"Agriculture, forestry and fishing",Percent,97.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,,"Agriculture, forestry and fishing",Percent,96.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,,"Agriculture, forestry and fishing",Percent,97.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,,"Agriculture, forestry and fishing",Percent,95.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,,"Agriculture, forestry and fishing",Percent,97.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Male,"Agriculture, forestry and fishing",Percent,94.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,Male,"Agriculture, forestry and fishing",Percent,90.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,Male,"Agriculture, forestry and fishing",Percent,94.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,Male,"Agriculture, forestry and fishing",Percent,80.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,Male,"Agriculture, forestry and fishing",Percent,95.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,Male,"Agriculture, forestry and fishing",Percent,93.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,Male,"Agriculture, forestry and fishing",Percent,92.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,Male,"Agriculture, forestry and fishing",Percent,92.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,Male,"Agriculture, forestry and fishing",Percent,90.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,Male,"Agriculture, forestry and fishing",Percent,95.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,Male,"Agriculture, forestry and fishing",Percent,96.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,Male,"Agriculture, forestry and fishing",Percent,96.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,Male,"Agriculture, forestry and fishing",Percent,97.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,Male,"Agriculture, forestry and fishing",Percent,96.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,Male,"Agriculture, forestry and fishing",Percent,96.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,Male,"Agriculture, forestry and fishing",Percent,95.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,Male,"Agriculture, forestry and fishing",Percent,96.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Female,"Agriculture, forestry and fishing",Percent,95.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,Female,"Agriculture, forestry and fishing",Percent,92.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,Female,"Agriculture, forestry and fishing",Percent,96.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,Female,"Agriculture, forestry and fishing",Percent,86.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,Female,"Agriculture, forestry and fishing",Percent,96.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,Female,"Agriculture, forestry and fishing",Percent,95.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,Female,"Agriculture, forestry and fishing",Percent,94.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,Female,"Agriculture, forestry and fishing",Percent,93.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,Female,"Agriculture, forestry and fishing",Percent,91.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,Female,"Agriculture, forestry and fishing",Percent,96.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,Female,"Agriculture, forestry and fishing",Percent,97.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,Female,"Agriculture, forestry and fishing",Percent,97.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,Female,"Agriculture, forestry and fishing",Percent,97.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,Female,"Agriculture, forestry and fishing",Percent,97.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,Female,"Agriculture, forestry and fishing",Percent,97.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,Female,"Agriculture, forestry and fishing",Percent,95.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,Female,"Agriculture, forestry and fishing",Percent,97.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,,Non-agriculture,Percent,68.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,,Non-agriculture,Percent,67.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,,Non-agriculture,Percent,73.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,,Non-agriculture,Percent,64.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,,Non-agriculture,Percent,73.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,,Non-agriculture,Percent,71.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,,Non-agriculture,Percent,71.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,,Non-agriculture,Percent,63.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,,Non-agriculture,Percent,62.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,,Non-agriculture,Percent,64.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,,Non-agriculture,Percent,72.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,,Non-agriculture,Percent,71.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,,Non-agriculture,Percent,66.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,,Non-agriculture,Percent,69.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,,Non-agriculture,Percent,62.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,,Non-agriculture,Percent,64.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,,Non-agriculture,Percent,59.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Male,Non-agriculture,Percent,61.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,Male,Non-agriculture,Percent,59.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,Male,Non-agriculture,Percent,67.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,Male,Non-agriculture,Percent,58.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,Male,Non-agriculture,Percent,67.0
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,Male,Non-agriculture,Percent,64.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,Male,Non-agriculture,Percent,67.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,Male,Non-agriculture,Percent,53.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,Male,Non-agriculture,Percent,54.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,Male,Non-agriculture,Percent,58.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,Male,Non-agriculture,Percent,65.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,Male,Non-agriculture,Percent,59.7
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,Male,Non-agriculture,Percent,57.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,Male,Non-agriculture,Percent,63.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,Male,Non-agriculture,Percent,49.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,Male,Non-agriculture,Percent,55.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,Male,Non-agriculture,Percent,52.3
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Female,Non-agriculture,Percent,75.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western,Female,Non-agriculture,Percent,75.9
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Central,Female,Non-agriculture,Percent,79.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Greater Accra,Female,Non-agriculture,Percent,71.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Volta,Female,Non-agriculture,Percent,79.6
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Eastern,Female,Non-agriculture,Percent,78.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ashanti,Female,Non-agriculture,Percent,76.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Western North,Female,Non-agriculture,Percent,73.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Ahafo,Female,Non-agriculture,Percent,71.2
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono,Female,Non-agriculture,Percent,70.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Bono East,Female,Non-agriculture,Percent,79.1
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Oti,Female,Non-agriculture,Percent,81.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Northern,Female,Non-agriculture,Percent,76.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Savannah,Female,Non-agriculture,Percent,78.5
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",North East,Female,Non-agriculture,Percent,76.8
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper East,Female,Non-agriculture,Percent,73.4
2021,A,0,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Upper West,Female,Non-agriculture,Percent,66.9
