Year,SERIES,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,,Number,192.0
2016,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,,Number,184.0
2017,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,,Number,196.0
2018,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,,Number,177.0
2019,Number of Technical and Vocational Institutes (number of institutions),Upper secondary vocational education,,Number,177.0
2014,Number of Technical and Vocational Institutes (Enrolled students),Upper secondary vocational education,Private,Percent,13.6
2015,Number of Technical and Vocational Institutes (Enrolled students),Upper secondary vocational education,Private,Percent,13.3
2016,Number of Technical and Vocational Institutes (Enrolled students),Upper secondary vocational education,Private,Percent,13.6
2017,Number of Technical and Vocational Institutes (Enrolled students),Upper secondary vocational education,Private,Percent,13.6
2018,Number of Technical and Vocational Institutes (Enrolled students),Upper secondary vocational education,Private,Percent,13.6
2019,Number of Technical and Vocational Institutes (Enrolled students),Upper secondary vocational education,Private,Percent,27.1
