Value,en,Disaggregation combinations using this value,Number of indicators
Coverage of protected areas in relation to marine areas-Habitat (sub-goal),Coverage of protected areas in relation to marine areas-Habitat (sub-goal),1,1
Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),1,1
Coverage of protected areas in relation to marine areas-Index,Coverage of protected areas in relation to marine areas-Index,1,1
Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),1,1
Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),1,1
Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),1,1
Coverage of protected areas in relation to marine areas-Natural products,Coverage of protected areas in relation to marine areas-Natural products,1,1
Coverage of protected areas in relation to marine areas-Sense of place,Coverage of protected areas in relation to marine areas-Sense of place,1,1
Coverage of protected areas in relation to marine areas-Species condition (sub-goal),Coverage of protected areas in relation to marine areas-Species condition (sub-goal),1,1
Coverage of protected areas in relation to marine areas-Tourism & recreation,Coverage of protected areas in relation to marine areas-Tourism & recreation,1,1
Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),1,1
Death rate due to road traffic injuries [3.6.1],Death rate due to road traffic injuries [3.6.1],1,1
Debt Service as a percentage of total domestic revenue,Debt Service as a percentage of total domestic revenue,1,1
Domestic passengers,Domestic passengers,1,1
Enrolment for National Functional Literacy Programme (number of classes),Enrolment for National Functional Literacy Programme (number of classes),1,1
Enrolment for National Functional Literacy Programme (number of students),Enrolment for National Functional Literacy Programme (number of students),3,1
Enrolment for National Functional Literacy Programme (percentage girls),Enrolment for National Functional Literacy Programme (percentage girls),1,1
Enrolment in TVET Programmes in Senior High Technical Schools (Girls' share in enrolment),Enrolment in TVET Programmes in Senior High Technical Schools (Girls' share in enrolment),1,1
Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),Enrolment in TVET Programmes in Senior High Technical Schools (number of schools),3,1
Enrolment in TVET Programmes in Senior High Technical Schools (number of students),Enrolment in TVET Programmes in Senior High Technical Schools (number of students),3,1
Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),Enrolment in TVET Programmes in Senior High Technical Schools (Private Schools as share (%) of total enrolment),1,1
Expenditure share of the bottom 40 percent of the population,Expenditure share of the bottom 40 percent of the population,1,1
Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],1,1
Forest area as a proportion of total land area [15.1.1],Forest area as a proportion of total land area [15.1.1],1,1
"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)","Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",18,1
Freight volume (tonne kilometres) [9.1.2],Freight volume (tonne kilometres) [9.1.2],4,1
Gender parity index for participation rate in formal and non-formal education and training [4.5.1],Gender parity index for participation rate in formal and non-formal education and training [4.5.1],44,1
Homes deliveries by region and locality type,Homes deliveries by region and locality type,22,1
Households access to fixed internet service,Households access to fixed internet service,3,1
Institutional maternal mortality ratio,Institutional maternal mortality ratio,11,1
International passengers,International passengers,1,1
Labour share of GDP [10.4.1],Labour share of GDP [10.4.1],1,1
"Malaria incidence per 1,000 population at risk [3.3.3]","Malaria incidence per 1,000 population at risk [3.3.3]",1,1
Manufacturing employment as a proportion of total employment [9.2.2],Manufacturing employment as a proportion of total employment [9.2.2],3,1
Manufacturing value added as a proportion of GDP [9.2.1],Manufacturing value added as a proportion of GDP [9.2.1],1,1
Manufacturing value added per capita [9.2.1],Manufacturing value added per capita [9.2.1],1,1
Maternal mortality ratio [3.1.1],Maternal mortality ratio [3.1.1],1,1
Monetary Poverty Rate,Monetary Poverty Rate,6,1
Neonatal mortality rate [3.2.2],Neonatal mortality rate [3.2.2],1,1
"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1,1
"Number of commercial bank branches per 100,000 adults [8.10.1]","Number of commercial bank branches per 100,000 adults [8.10.1]",1,1
"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",3,3
Number of new HIV infections [3.3.1],Number of new HIV infections [3.3.1],1,1
"Number of new HIV infections per 1,000 uninfected population [3.3.1]","Number of new HIV infections per 1,000 uninfected population [3.3.1]",1,1
Number of Technical and Vocational Institutes (Enrolled students),Number of Technical and Vocational Institutes (Enrolled students),5,1
Number of Technical and Vocational Institutes (number of institutions),Number of Technical and Vocational Institutes (number of institutions),5,1
"Number of victims of intentional homicide per 100,000 population [16.1.1]","Number of victims of intentional homicide per 100,000 population [16.1.1]",1,1
Official Development Assistance (ODA) inflows as a percentage of national budget,Official Development Assistance (ODA) inflows as a percentage of national budget,1,1
Passenger volume (passenger kilometres) [9.1.2],Passenger volume (passenger kilometres) [9.1.2],2,1
Per capita share of raw water (m3/per person/year),Per capita share of raw water (m3/per person/year),1,1
Percentage of children engaged in child labour,Percentage of children engaged in child labour,5,1
Percentage of children engaged in hazardous forms of child labour,Percentage of children engaged in hazardous forms of child labour,5,1
Percentage of degraded areas within forest areas under protection,Percentage of degraded areas within forest areas under protection,1,1
Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,6,1
"Police reporting rate for physical assault, by sex (%) [16.3.1]","Police reporting rate for physical assault, by sex (%) [16.3.1]",3,1
Post-harvest losses for selected produce,Post-harvest losses for selected produce,7,1
Prevalence of moderate or severe food insecurity in the population [2.1.2],Prevalence of moderate or severe food insecurity in the population [2.1.2],13,1
Prevalence of severe food insecurity in the population [2.1.2],Prevalence of severe food insecurity in the population [2.1.2],13,1
Primary government expenditures as a proportion of original approved budget [16.6.1],Primary government expenditures as a proportion of original approved budget [16.6.1],1,1
Pro-Poor Share of Government Expenditure,Pro-Poor Share of Government Expenditure,1,1
Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],1,1
Proportion of births attended by skilled health personnel [3.1.2],Proportion of births attended by skilled health personnel [3.1.2],11,1
Proportion of bodies of water with good ambient water quality [6.3.2],Proportion of bodies of water with good ambient water quality [6.3.2],1,1
Proportion of children moderately or severely overweight [2.2.2],Proportion of children moderately or severely overweight [2.2.2],1,1
Proportion of children moderately or severely stunted [2.2.1],Proportion of children moderately or severely stunted [2.2.1],10,1
Proportion of children moderately or severely wasted [2.2.2],Proportion of children moderately or severely wasted [2.2.2],1,1
Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],1,1
Proportion of children underweight,Proportion of children underweight,1,1
Proportion of children who are developmentally on track in learning,Proportion of children who are developmentally on track in learning,3,1
Proportion of children who are developmentally on track in literacy-numeracy,Proportion of children who are developmentally on track in literacy-numeracy,3,1
Proportion of children who are developmentally on track in physical development,Proportion of children who are developmentally on track in physical development,3,1
Proportion of children who are developmentally on track in social-emotional development,Proportion of children who are developmentally on track in social-emotional development,3,1
Proportion of domestic budget funded by domestic taxes [17.1.2],Proportion of domestic budget funded by domestic taxes [17.1.2],1,1
Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],1,1
Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],1,1
Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],2,1
Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],3,1
Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting [5.3.2],Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting [5.3.2],3,1
Proportion of individuals using the internet,Proportion of individuals using the internet,15,1
Proportion of individuals who own a mobile telephone [5.b.1],Proportion of individuals who own a mobile telephone [5.b.1],5,1
Proportion of individuals who use a mobile telephone [5.b.1],Proportion of individuals who use a mobile telephone [5.b.1],5,1
"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]","Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",153,1
Proportion of population below international poverty line [1.1.1],Proportion of population below international poverty line [1.1.1],14,1
Proportion of population living below the national poverty line [1.2.1],Proportion of population living below the national poverty line [1.2.1],15,1
Proportion of population living in multidimensional poverty [1.2.2],Proportion of population living in multidimensional poverty [1.2.2],6,1
Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],8,1
"Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]","Proportion of population reporting having felt discriminated against [10.3.1, 16.b.1]",44,2
Proportion of population subjected to economic violence in the previous 12 months [16.1.3],Proportion of population subjected to economic violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to physical violence in the previous 12 months [16.1.3],Proportion of population subjected to physical violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to social violence in the previous 12 months [16.1.3],Proportion of population subjected to social violence in the previous 12 months [16.1.3],2,1
Proportion of population that feel safe walking alone around the area they live in [16.1.4],Proportion of population that feel safe walking alone around the area they live in [16.1.4],5,1
Proportion of population with access to electricity [7.1.1],Proportion of population with access to electricity [7.1.1],1,1
Proportion of population with primary reliance on clean fuels and technology [7.1.2],Proportion of population with primary reliance on clean fuels and technology [7.1.2],1,1
Proportion of pupils in JHS that passed Mathematics and English (Percent),Proportion of pupils in JHS that passed Mathematics and English (Percent),6,1
Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),12,1
Proportion of schools with access to basic drinking water [4.a.1],Proportion of schools with access to basic drinking water [4.a.1],2,1
Proportion of schools with access to electricity [4.a.1],Proportion of schools with access to electricity [4.a.1],2,1
Proportion of schools with access to toilet facilities,Proportion of schools with access to toilet facilities,2,1
Proportion of schools with access to urinals,Proportion of schools with access to urinals,2,1
Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],1,1
Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country [4.c.1],Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country [4.c.1],10,1
Proportion of time spent on unpaid domestic chores and care work [5.4.1],Proportion of time spent on unpaid domestic chores and care work [5.4.1],5,1
"Proportion of total government spending on essential services, education [1.a.2]","Proportion of total government spending on essential services, education [1.a.2]",1,1
Proportion of total government spending on health [1.a.2],Proportion of total government spending on health [1.a.2],1,1
Proportion of urban population living in slums [11.1.1],Proportion of urban population living in slums [11.1.1],1,1
Proportion of urban solid waste regularly collected,Proportion of urban solid waste regularly collected,1,1
Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],1,1
Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],1,1
"Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)","Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)",1,1
Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],1,1
"Proportion of youth not in education, employment or training [8.6.1]","Proportion of youth not in education, employment or training [8.6.1]",3,1
Pupil-trained teacher ratio by academic year at the basic level,Pupil-trained teacher ratio by academic year at the basic level,2,1
Red List Index [15.5.1],Red List Index [15.5.1],1,1
Renewable energy share in the total final energy consumption [7.2.1],Renewable energy share in the total final energy consumption [7.2.1],1,1
Reported cases of domestic violence,Reported cases of domestic violence,1,1
Sources of drinking water,Sources of drinking water,6,1
Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),6,1
Total government revenue as a proportion of GDP [17.1.1],Total government revenue as a proportion of GDP [17.1.1],1,1
"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]","Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",1,1
Tuberculosis incidence [3.3.2],Tuberculosis incidence [3.3.2],1,1
Type of care received during Health facility delivery,Type of care received during Health facility delivery,3,1
Type of care received during Home delivery,Type of care received during Home delivery,3,1
Type of toilet facility used by households by locality type,Type of toilet facility used by households by locality type,12,1
Under-five mortality rate [3.2.1],Under-five mortality rate [3.2.1],1,1
Unemployment rate [8.5.2],Unemployment rate [8.5.2],12,1
"Unemployment rate, by disability [8.5.2]","Unemployment rate, by disability [8.5.2]",6,1
Unsentenced detainees as a proportion of overall prison population [16.3.2],Unsentenced detainees as a proportion of overall prison population [16.3.2],1,1
Urban population living in slums (number) [11.1.1],Urban population living in slums (number) [11.1.1],1,1
Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],1,1
